country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,36885,50890,47465,35245,31045,33020,32235,24160,22010,20320
Bulgaria,1355,2050,5260,12870,20810,14120,2600,1305,1245,1225
Czechia,2520,2375,2405,2460,4510,3760,6090,3445,8955,7955
Denmark,2170,3295,3110,2905,3925,3050,3185,4155,3920,2235
Germany,17550,20000,25380,34255,54080,70005,97165,52930,47530,36330
Estonia,480,580,600,475,590,505,645,875,1190,1235
Ireland,1805,2065,2145,970,875,1355,1105,1385,2535,795
Greece,88820,84705,43150,73670,104575,33790,45765,58325,78880,38540
Spain,73220,60880,32915,42150,33495,27845,27340,59255,37890,50285
France,83440,77600,84890,86955,79950,81000,84675,105560,123845,108395
Croatia,NA,NA,4355,3120,3910,4730,4400,6350,15510,23135
Italy,29505,29345,23945,25300,27305,32365,36240,27070,26900,22785
Cyprus,3205,3110,4130,3525,2250,1575,1850,1595,1300,3030
Latvia,1060,2070,2080,1555,1190,1450,1350,1540,1615,1015
Lithuania,1765,1910,1770,2245,1870,1740,2080,2475,2320,1905
Luxembourg,NA,1945,1015,775,700,655,915,850,1070,1050
Hungary,6935,7450,5940,5885,11750,10765,8730,8650,3235,4505
Malta,1730,2255,2435,990,575,415,470,515,620,590
Netherlands,29500,27265,32435,33735,19015,25310,20750,17935,25435,21100
Austria,8520,8160,10085,2480,9910,11850,8850,10690,13960,9165
Poland,7750,7995,9215,10160,13635,20010,24825,29375,29305,10970
Portugal,8570,8565,5450,3845,5080,6200,5760,4590,5980,3200
Romania,3095,3015,2245,2030,1930,2070,1975,2080,3325,2415
Slovenia,4410,2055,1040,1025,1025,1375,1220,1290,2060,1610
Slovakia,580,490,545,925,1575,1735,2375,2500,1905,865
Finland,4685,4300,4330,3360,4905,17975,7255,5435,7395,5425
Sweden,17600,19905,14695,14280,18150,17585,20525,22310,21260,16350
Iceland,NA,NA,NA,NA,NA,NA,NA,NA,95,NA
Liechtenstein,10,10,10,15,15,15,NA,20,15,NA
Norway,14540,13790,13480,13305,13705,15380,9795,NA,NA,3780
Switzerland,NA,3460,3320,3335,3730,3420,3260,3170,3100,2420
United Kingdom,54150,49365,57415,65365,70020,59895,54910,21490,22275,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Special value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Available flags:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
p,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
