country,year,hog,hog_ideology,hog_party_eng,leader,leader_ideology,leader_party_eng
Argentina,1945,Edelmiro Julian Farrell Plaul,leftist,none,Farrell,leftist,none
Argentina,1946,Juan Domingo Peron Sosa,leftist,Justicialist [Peronist] Party,Peron,leftist,Justicialist [Peronist] Party
Argentina,1947,Juan Domingo Peron Sosa,leftist,Justicialist [Peronist] Party,Peron,leftist,Justicialist [Peronist] Party
Argentina,1948,Juan Domingo Peron Sosa,leftist,Justicialist [Peronist] Party,Peron,leftist,Justicialist [Peronist] Party
Argentina,1949,Juan Domingo Peron Sosa,leftist,Justicialist [Peronist] Party,Peron,leftist,Justicialist [Peronist] Party
Argentina,1950,Juan Domingo Peron Sosa,leftist,Justicialist [Peronist] Party,Peron,leftist,Justicialist [Peronist] Party
Argentina,1951,Juan Domingo Peron Sosa,leftist,Justicialist [Peronist] Party,Peron,leftist,Justicialist [Peronist] Party
Argentina,1952,Juan Domingo Peron Sosa,leftist,Justicialist [Peronist] Party,Peron,leftist,Justicialist [Peronist] Party
Argentina,1953,Juan Domingo Peron Sosa,leftist,Justicialist [Peronist] Party,Peron,leftist,Justicialist [Peronist] Party
Argentina,1954,Juan Domingo Peron Sosa,leftist,Justicialist [Peronist] Party,Peron,leftist,Justicialist [Peronist] Party
Argentina,1955,Pedro Eugenio Aramburu Cilveti,rightist,none,Aramburu,rightist,none
Argentina,1956,Pedro Eugenio Aramburu Cilveti,rightist,none,Aramburu,rightist,none
Argentina,1957,Pedro Eugenio Aramburu Cilveti,rightist,none,Aramburu,rightist,none
Argentina,1958,Arturo Frondizi Ercoli,centrist,Intransigent Radical Civic Union,Frondizi,centrist,Intransigent Radical Civic Union
Argentina,1959,Arturo Frondizi Ercoli,centrist,Intransigent Radical Civic Union,Frondizi,centrist,Intransigent Radical Civic Union
Argentina,1960,Arturo Frondizi Ercoli,centrist,Intransigent Radical Civic Union,Frondizi,centrist,Intransigent Radical Civic Union
Argentina,1961,Arturo Frondizi Ercoli,centrist,Intransigent Radical Civic Union,Frondizi,centrist,Intransigent Radical Civic Union
Argentina,1962,Jose Maria Guido,centrist,Intransigent Radical Civic Union,Guido,centrist,Intransigent Radical Civic Union
Argentina,1963,Arturo Umberto Illia Francesconi,centrist,Radical Civic Union of the People,Arturo Illia,centrist,Radical Civic Union of the People
Argentina,1964,Arturo Umberto Illia Francesconi,centrist,Radical Civic Union of the People,Arturo Illia,centrist,Radical Civic Union of the People
Argentina,1965,Arturo Umberto Illia Francesconi,centrist,Radical Civic Union of the People,Arturo Illia,centrist,Radical Civic Union of the People
Argentina,1966,Juan Carlos Ongania Carballo,rightist,none,Ongania,rightist,none
Argentina,1967,Juan Carlos Ongania Carballo,rightist,none,Ongania,rightist,none
Argentina,1968,Juan Carlos Ongania Carballo,rightist,none,Ongania,rightist,none
Argentina,1969,Juan Carlos Ongania Carballo,rightist,none,Ongania,rightist,none
Argentina,1970,Roberto Marcelo Levingston Laborda,rightist,none,Levingston,rightist,none
Argentina,1971,Alejandro Agustin Lanusse Gelly,rightist,none,Lanusse,rightist,none
Argentina,1972,Alejandro Agustin Lanusse Gelly,rightist,none,Lanusse,rightist,none
Argentina,1973,Juan Domingo Peron Sosa,leftist,Justicialist [Peronist] Party,Peron,leftist,Justicialist [Peronist] Party
Argentina,1974,Maria Estela Martinez Cartas de Peron,leftist,Justicialist [Peronist] Party,"Peron, Isabel",leftist,Justicialist [Peronist] Party
Argentina,1975,Maria Estela Martinez Cartas de Peron,leftist,Justicialist [Peronist] Party,"Peron, Isabel",leftist,Justicialist [Peronist] Party
Argentina,1976,Jorge Rafael Videla Redondo,rightist,none,Videla,rightist,none
Argentina,1977,Jorge Rafael Videla Redondo,rightist,none,Videla,rightist,none
Argentina,1978,Jorge Rafael Videla Redondo,rightist,none,Videla,rightist,none
Argentina,1979,Jorge Rafael Videla Redondo,rightist,none,Videla,rightist,none
Argentina,1980,Jorge Rafael Videla Redondo,rightist,none,Videla,rightist,none
Argentina,1981,Leopoldo Fortunato Galtieri Castelli,rightist,none,Galtieri,rightist,none
Argentina,1982,Reynaldo Benito Antonio Bignone Ramayon,rightist,none,Bignone,rightist,none
Argentina,1983,Raul Ricardo Alfonsin Foulkes,leftist,Radical Civic Union,Alfonsin,leftist,Radical Civic Union
Argentina,1984,Raul Ricardo Alfonsin Foulkes,leftist,Radical Civic Union,Alfonsin,leftist,Radical Civic Union
